date,predicted_daily_revenue_usd
2026-09-01,7546.038937301583
2026-09-02,5987.426415873014
2026-09-03,5014.274867460322
2026-09-04,6700.703210317457
2026-09-05,6303.163361111107
2026-09-06,6394.976706349202
2026-09-07,6327.861634126983
2026-09-08,5989.064675396825
2026-09-09,5541.079067460321
2026-09-10,5605.786853174601
2026-09-11,5353.015341269844
2026-09-12,6094.707432539681
2026-09-13,6085.829429365076
2026-09-14,6497.982649999996
2026-09-15,6385.053374603169
2026-09-16,6222.060449999995
2026-09-17,6085.737587301581
2026-09-18,5707.89167142857
2026-09-19,5384.202247619047
2026-09-20,5980.1253865079325
2026-09-21,6066.9839492063475
2026-09-22,5645.747152380947
2026-09-23,5434.854183333332
2026-09-24,5852.94697380952
2026-09-25,6007.664647619045
2026-09-26,6216.256099999995
2026-09-27,6839.427166666659
2026-09-28,7297.546399206345
2026-09-29,6085.702978571427
2026-09-30,5898.734704761902
